"","x"
"53","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"54","#htgawm I am traumatized!!!! What is this episode even!!"
"55","RT @petenowalk: This was the hardest showrunner decision I've ever made #StomachPains&amp;Tears #HTGAWM"
"56","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"57","Nah how they gonna kill Wes ffs, should've been Nate #HTGAWM"
"58","RT @DrunkyBorghy: CRYING IN PANIC #HTGAWM"
"59","RT @emmjolras: @RestingPlatypus TAKE THE EPISODE BACK CANCEL IT EVERYONE IS HAPPY AND ALIVE #HTGAWM"
"60","RT @rodimusprime: Old Becky with the Dirty Hair is back to haunt Wes again. #HTGAWM"
"61","RT @MattMcGorry: READYYYYY????!!!! #HTGAWM"
"62","RT @danaemolina: I'm in denial.. Either Wes has a twin brother or faked his own death, HE CANNOT BE DEAD #HTGAWM"
"63","WHAT DO YOU FUCKING MEAN HE WAS ALREADY DEAD?!?!!?!!!! #htgawm"
"64","RT @RestingPlatypus: We got through it. Thanks for tuning in fam. #HTGAWM"
"65","Just watched #HTGAWM !! My jaw hit the floor"
"66","I'm really hurt from this.. damn man. #HTGAWM"
"67","RT @fyeahtgawm: Raise your hand if you've been victimized by this episode. #HTGAWM @HowToGetAwayABC @petenowalk @violadavis https://t.co/4K…"
"68","WES WHY WES WHY?! #HTGAWM 2 months to wait... TOO MUCH!"
"69","I'm so done with this show, how can you kill wes?!!!!! #htgawm <ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+009F>"
"70","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"71","I AM IN SO MUCH SHOCK RIGHT NOW #HTGAWM"
"72","Ugh. Excited to go home and watch #HTGAWM"
"73","RT @stepht_88: @liza_weil @TheCharlieWeber #HTGAWM Bonnie: I would die if you killed yourself. Also Bonnie: say uh, can you do life in jail…"
"74","RT @Cristallizing: Peter: But Wes is a main charac--
Shonda: Kill him
#HTGAWM https://t.co/avKHbf9Qjj"
"75","BRUH WTFFFFFFFFFFFFF #HTGAWM"
"76","<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>#SHONDA !!!!!! #htgawm <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> Nope NOPE NOPE NOT #WAITLIST 100 Points from Griffindoor <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>"
"77","RT @BrylleeeUytiepo: BRING HIM BACK PLEASE  <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"78","RT @Prettyyyyyyyy_: First yall kill his mama, kill his girlfriend, kill his daddy now him like whyyy <ed><U+00A0><U+00BD><ed><U+00B8><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #htgawm"
"79","RT @HowToGetAwayABC: The moment you've been dying for is TONIGHT on the #HTGAWM Winter Finale at 10|9c! https://t.co/8mMlcMgNrY"
"80","RT @NatalieAbrams: How to Get Away with Murder's surprising victim speaks out https://t.co/N2g40SK0pH #HTGAWM @HowToGetAwayABC https://t.co…"
"81","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"82","RT @WhAtS_dE_tWEEt: CAUTION: 
#HTGAWM will 

Ruin your life
Run your pressure up
RUIN your life 
Take u thru 100 emotions 
RUIN YOUR LIFE !…"
"83","Unsure what to do with the rest of my life now #HTGAWM"
