"word","freq"
"bannon",786
"steve",460
"trump",211
"white",110
"chief",75
"amp",67
"appointment",65
"maga",61
"working",61
"israeli",60
"jewish",60
"httpsâ€",59
"racist",59
"stephen",57
"antisemitic",55
"trumps",55
"ambassador",54
"look",51
"critics",50
"american",49
"milo",49
"strategist",49
"ellison",48
"sharpton",48
"media",47
"like",46
"house",44
"forward",42
"bannons",41
"keith",41
"cathynewman",40
"thinker",40
"breitbart",38
"donald",38
"now",37
"via",37
"reid",36
"jews",35
"nationalist",35
"lied",34
"gerfingerpoken",33
"know",33
"watch",32
"call",31
"pjnet",31
"taxes",31
"says",29
"transition",29
"advisor",28
"lindasuhler",28
"altright",27
"guy",27
"realdonaldtrumps",27
"things",27
"bâ€",26
"kiralerner",26
"muslim",26
"wal",26
"will",26
"wont",26
"saying",25
"â€˜",24
"least",24
"lies",24
"step",24
"backs",23
"everyone",23
"flynn",23
"headquarters",23
"hire",23
"orgs",23
"outside",23
"raheemkassam",23
"resist",23
"brown",22
"httpstâ€",22
"just",22
"league",22
"man",22
"new",22
"raheem",22
"say",22
"antidefamation",21
"can",21
"dont",21
"false",21
"flew",21
"httpstcoyqtwusibj",21
"kassam",21
"london",21
"make",21
"romneys",21
"stop",21
"hes",20
"okay",20
"claims",19
"jew",19
"many",19
"senior",19
"hate",18
"headlines",18
"httpstcofuzqcmkrtf",18
"jarrett",18
"must",18
"video",18
"halsteadg",17
"httpstcoâ€",17
"realdonaldtrump",17
"familyâ€™",16
"presidentelect",16
"read",16
"antisemitism",15
"feminism",15
"groups",15
"guidofawkes",15
"let",15
"sanders",15
"satirical",15
"totally",15
"arent",14
"bannonnmaga",14
"hating",14
"httpstcodthlls",14
"httpstcoimâ€",14
"keithellison",14
"much",14
"need",14
"nhttpstcoebbohqbwl",14
"obama",14
"people",14
"said",14
"trumpâ€™s",14
"unacceptable",14
"valerie",14
"words",14
"accuse",13
"adviser",13
"america",13
"cant",13
"dershowitz",13
"get",13
"httpstcopoâ€",13
"individual",13
"nnhttpsâ€",13
"one",13
"protest",13
"rescind",13
"yiannopoulos",13
"antisemitismnnpraise",12
"benabyad",12
"campaign",12
"cnn",12
"drmartyfox",12
"group",12
"israel",12
"left",12
"lives",12
"lyingliberals",12
"muslimbrotherhood",12
"nnfalsely",12
"take",12
"tied",12
"alan",11
"among",11
"angst",11
"antisemite",11
"based",11
"bernie",11
"black",11
"breitbartnews",11
"congress",11
"controversial",11
"divisions",11
"embrace",11
"ggreenwald",11
"going",11
"horowitz",11
"httâ€",11
"made",11
"matters",11
"questioned",11
"racism",11
"right",11
"sparks",11
"story",11
"tower",11
"two",11
"weneedtrump",11
"amazing",10
"antiseâ€",10
"berniesanders",10
"didnt",10
"fbi",10
"five",10
"httpstcomkzzuâ€",10
"iâ€™m",10
"jealous",10
"kinda",10
"neeratanden",10
"pence",10
"protesters",10
"radio",10
"really",10
"room",10
"ruleoflaw",10
"sensanders",10
"smearnsupportbannon",10
"team",10
"think",10
"warns",10
"anti",9
"antioccupation",9
"attacking",9
"calling",9
"calls",9
"country",9
"exactly",9
"full",9
"guess",9
"hâ€",9
"hired",9
"httpâ€",9
"ifnotnoworg",9
"interview",9
"join",9
"kkk",9
"makes",9
"mitchellvii",9
"nationalists",9
"needs",9
"news",9
"quotes",9
"rescinded",9
"romney",9
"side",9
"sign",9
"silicon",9
"tell",9
"top",9
"years",9
"zoa",9
"advisornni",8
"asian",8
"attaâ€",8
"bet",8
"bold",8
"câ€",8
"change",8
"distortion",8
"done",8
"enough",8
"etc",8
"ever",8
"fire",8
"gay",8
"good",8
"harry",8
"heâ€™s",8
"httpstcâ€",8
"httpstcolmtusaefx",8
"httpstcommibbm",8
"hunt",8
"may",8
"misogynistic",8
"nationalism",8
"never",8
"next",8
"nsteve",8
"nvs",8
"person",8
"presidenttrumpnhttpstcotlbzxqâ€",8
"sarahkendzior",8
"theonion",8
"want",8
"website",8
"week",8
"witch",8
"witnessing",8
"world",8
"youtube",8
"advising",7
"ask",7
"bannonnpresidentelecttrump",7
"bashing",7
"biased",7
"breaking",7
"ceos",7
"churchâ€",7
"coaxed",7
"coulter",7
"dnc",7
"fact",7
"fahrenthold",7
"flattered",7
"foxandfriends",7
"give",7
"gop",7
"got",7
"great",7
"haters",7
"heads",7
"interesting",7
"interviews",7
"isnt",7
"jimwaterson",7
"key",7
"marksimoneny",7
"mean",7
"members",7
"nazi",7
"obamas",7
"pattonoswalt",7
"policies",7
"position",7
"press",7
"reminds",7
"romneyâ€™s",7
"ronwyden",7
"ryan",7
"screw",7
"state",7
"support",7
"theprowave",7
"ties",7
"views",7
"wants",7
"way",7
"administration",6
"also",6
"away",6
"bannonnitâ€™s",6
"bannonnnâ€˜causeâ€",6
"benhowe",6
"bitching",6
"building",6
"congrats",6
"dagodfather",6
"dems",6
"dermer",6
"electionnight",6
"everywhere",6
"finally",6
"firing",6
"gartrelllinda",6
"glass",6
"goebbelsneduaubdedubueduaubcedubfubfeduaubdedubueduaubcedubfubfeduaubdedubueduaubcedubfubf",6
"hey",6
"hitting",6
"httpstcoacjnywbpub",6
"httpstcofsboot",6
"httpstcopzuilgyx",6
"httpstcoqhlobpsalq",6
"httpstcoykinxtâ€",6
"idea",6
"islam",6
"ive",6
"jeneps",6
"joseph",6
"journalists",6
"leahr",6
"lets",6
"liberals",6
"literally",6
"lobby",6
"lying",6
"means",6
"minister",6
"msm",6
"natâ€™l",6
"nmrs",6
"nownndoes",6
"platform",6
"praises",6
"reporters",6
"ron",6
"sâ€",6
"scared",6
"security",6
"seen",6
"since",6
"smear",6
"start",6
"stopbannon",6
"storefront",6
"supportbannonnhttpsâ€",6
"supremacist",6
"takes",6
"trumptrainnewss",6
"valley",6
"weâ€™re",6
"wednesdaywisdom",6
"window",6
"worked",6
"worst",6
"admin",5
"allegedly",5
"annaleclaire",5
"antisemiticterrorism",5
"auspol",5
"avoids",5
"bannonâ€™s",5
"bannonnnspread",5
"behind",5
"belong",5
"bennett",5
"benswann",5
"best",5
"better",5
"bigotry",5
"carolinewalkerb",5
"character",5
"choice",5
"christichat",5
"cnews",5
"confirmed",5
"cut",5
"dangerous",5
"demand",5
"democracynow",5
"democrats",5
"election",5
"event",5
"every",5
"evidence",5
"face",5
"family",5
"feisty",5
"fight",5
"finance",5
"firebannon",5
"fng",5
"hayleybarlow",5
"heres",5
"hiring",5
"httpstcobspurcn",5
"httpstcobxnvjulr",5
"httpstcocxiaszâ€",5
"httpstcodspitrrq",5
"httpstcogannzoqk",5
"httpstcojkwkawlpu",5
"httpstcoksywâ€",5
"httpstcoocqfdvkno",5
"ignore",5
"ingodidotrust",5
"keep",5
"laws",5
"lie",5
"live",5
"locks",5
"meet",5
"might",5
"mmpadellan",5
"movement",5
"muslims",5
"naftali",5
"nepotism",5
"office",5
"paid",5
"palestinian",5
"per",5
"petition",5
"please",5
"post",5
"ppl",5
"president",5
"putin",5
"race",5
"reaction",5
"reject",5
"remain",5
"reported",5
"rockjaw",5
"screams",5
"see",5
"sen",5
"senate",5
"sexism",5
"show",5
"siden",5
"silent",5
"smart",5
"society",5
"stefanmolyneux",5
"tâ€",5
"talk",5
"thing",5
"trumpbannon",5
"undeâ€",5
"untruth",5
"urges",5
"violating",5
"widâ€",5
"yes",5
"yiannopolous",5
"yowan",5
"â€œthe",4
"action",4
"actually",4
"adl",4
"advise",4
"aide",4
"americans",4
"antilgbt",4
"attacks",4
"authority",4
"aviv",4
"back",4
"backfires",4
"bannoâ€",4
"bannonnstopbannonndailyshowntâ€",4
"biggest",4
"bigot",4
"blasts",4
"born",4
"breaknniranian",4
"breitbarts",4
"civic",4
"civil",4
"clinton",4
"college",4
"complaint",4
"couldnt",4
"coverage",4
"cowards",4
"defending",4
"diary",4
"disavow",4
"doesnt",4
"foolish",4
"frequency",4
"george",4
"grassroots",4
"head",4
"homophobia",4
"htâ€",4
"httpstcokeqwipha",4
"httpstcokjxdxxqâ€",4
"httpstcomcnrtrek",4
"httpstcomexwglrip",4
"httpstcomidmosbq",4
"including",4
"increased",4
"insider",4
"issue",4
"issues",4
"jared",4
"job",4
"joelpollak",4
"jpbrammer",4
"kilmeade",4
"klein",4
"kushner",4
"letsgoskatepool",4
"listen",4
"love",4
"march",4
"maybe",4
"mcconnell",4
"meant",4
"meeting",4
"mercer",4
"misogyny",4
"money",4
"mtnmd",4
"name",4
"neo",4
"npr",4
"obamanntrumps",4
"offensive",4
"offer",4
"olivianuzzi",4
"organization",4
"pac",4
"part",4
"pick",4
"point",4
"policy",4
"presideâ€",4
"pretty",4
"problem",4
"problems",4
"proisrael",4
"public",4
"question",4
"racistnbannons",4
"raises",4
"ran",4
"ravenhuwolf",4
"refusal",4
"refuse",4
"republicans",4
"run",4
"sandidemita",4
"sandrafluke",4
"scary",4
"sees",4
"sense",4
"served",4
"sessions",4
"sexist",4
"specter",4
"speech",4
"spineless",4
"stand",4
"statements",4
"stormed",4
"students",4
"suggests",4
"super",4
"supporters",4
"swamp",4
"talking",4
"tel",4
"thedailyshow",4
"thinks",4
"thoughts",4
"time",4
"trafficked",4
"trevornoah",4
"try",4
"trying",4
"uaufef",4
"ugly",4
"unaâ€",4
"urge",4
"use",4
"viewsâ€",4
"war",4
"washington",4
"whiny",4
"whitehouse",4
"wing",4
"winning",4
"zionist",4
"â€“",3
"â€œsteve",3
"aâ€",3
"accusation",3
"agenda",3
"alinsky",3
"amendment",3
"andâ€",3
"antibannon",3
"antimuslim",3
"anylaurie",3
"anyone",3
"anything",3
"asians",3
"asks",3
"assassination",3
"attention",3
"babelfishnaltright",3
"backlash",3
"bad",3
"beebs",3
"billedplatypus",3
"bothâ€",3
"boyle",3
"brain",3
"breitbartlondon",3
"bullshitnbannon",3
"bush",3
"cair",3
"called",3
"callstadt",3
"care",3
"case",3
"ceosâ€",3
"chairman",3
"children",3
"chucknellis",3
"come",3
"committed",3
"community",3
"concerned",3
"conway",3
"counselor",3
"cover",3
"cure",3
"date",3
"death",3
"dedicated",3
"deeply",3
"denounced",3
"disagree",3
"disgraceful",3
"doucennhttpstcoreirjgsik",3
"dump",3
"educate",3
"ellisons",3
"email",3
"ensure",3
"everything",3
"ezlusztig",3
"fâ€",3
"falsely",3
"familyâ€™nmaga",3
"far",3
"farage",3
"felony",3
"fine",3
"found",3
"funds",3
"funnynhttpstcokkrbodw",3
"gala",3
"georgetakei",3
"glenn",3
"godblessameric",3
"haaretz",3
"hand",3
"happily",3
"hatefilled",3
"hates",3
"headline",3
"health",3
"hiding",3
"hillary",3
"holds",3
"hosting",3
"houâ€",3
"houseâ€",3
"httpstcodpjrmpse",3
"httpstcohsajkpnlg",3
"httpstcohwfhdxb",3
"httpstcolâ€",3
"httpstcolsjlâ€",3
"httpstcomqvâ€",3
"httpstconktqiqp",3
"httpstcooâ€",3
"httpstcorzkyce",3
"httpstcovctqkywvdo",3
"httpstcovpppphvbc",3
"httpstcowekoayis",3
"httpstcowgxvldre",3
"httpstcozikwqoqtt",3
"iâ€™ve",3
"ideas",3
"illegal",3
"implied",3
"important",3
"improving",3
"ingrahamangle",3
"inspiration",3
"instead",3
"invite",3
"irritatedwoman",3
"joshuagreen",3
"knew",3
"launch",3
"legs",3
"liked",3
"lisabloom",3
"little",3
"long",3
"lot",3
"loudobbs",3
"mâ€",3
"making",3
"mannequinchallenge",3
"matt",3
"mcconnellâ€™s",3
"mental",3
"mentor",3
"michael",3
"minority",3
"mitch",3
"mobilize",3
"mope",3
"mort",3
"nathanielbumpo",3
"nazinposttruth",3
"nerve",3
"networks",3
"nhttpstcâ€",3
"noclador",3
"nothing",3
"objective",3
"odd",3
"offended",3
"opponents",3
"orthodox",3
"party",3
"peddoc",3
"pelosi",3
"picks",3
"place",3
"plan",3
"plans",3
"pollak",3
"power",3
"presidency",3
"prevere",3
"produces",3
"proof",3
"proudlyâ€",3
"purposeful",3
"put",3
"radicalism",3
"real",3
"reconsider",3
"remember",3
"repudiate",3
"rights",3
"robert",3
"role",3
"russia",3
"saul",3
"saw",3
"seems",3
"senators",3
"senmarkey",3
"shes",3
"shouldnt",3
"simonschama",3
"slam",3
"sounds",3
"spank",3
"statement",3
"stevedoocy",3
"still",3
"stranahan",3
"street",3
"strikes",3
"strong",3
"stuff",3
"supporter",3
"supremacists",3
"theadamgoldberg",3
"thedailybeast",3
"thedrum",3
"thenation",3
"theresistance",3
"toâ€",3
"today",3
"told",3
"true",3
"turkey",3
"understand",3
"uskiwi",3
"voice",3
"wâ€",3
"wall",3
"washingtonpost",3
"wasnt",3
"wear",3
"win",3
"women",3
"wonderful",3
"work",3
"wrong",3
"xenophobic",3
"yahoonews",3
"yet",3
"â€˜looks",2
"â€˜racistâ€™",2
"â€”",2
"accoâ€",2
"accused",2
"achieve",2
"activists",2
"actual",2
"added",2
"admitonesin",2
"admits",2
"advertising",2
"advisory",2
"advocates",2
"agents",2
"aiiamericangiri",2
"allegations",2
"allowed",2
"ally",2
"almost",2
"alt",2
"always",2
"americaâ€™s",2
"americatrump",2
"amount",2
"ananavarro",2
"andrew",2
"announcement",2
"announces",2
"another",2
"apologize",2
"arguing",2
"arthurschwartz",2
"article",2
"articles",2
"asianborn",2
"attack",2
"aware",2
"backnallegations",2
"backnhow",2
"bannonâ€",2
"bannonflynn",2
"bannonnb",2
"bbc",2
"bbcdp",2
"bbcnews",2
"bbcnewswatch",2
"bbcpm",2
"bbcqt",2
"beard",2
"beck",2
"beloved",2
"big",2
"blacks",2
"blisstabitha",2
"bostonglobe",2
"brespolitico",2
"brotherhood",2
"business",2
"cabinet",2
"camp",2
"candidate",2
"card",2
"catch",2
"cathy",2
"caved",2
"cbsnews",2
"cernovich",2
"chairperson",2
"chose",2
"cia",2
"claim",2
"closer",2
"coalition",2
"collusion",2
"comedycentral",2
"comparing",2
"concern",2
"condemn",2
"conference",2
"continues",2
"contributed",2
"controls",2
"countries",2
"covering",2
"crazyrudy",2
"credit",2
"criticism",2
"crumble",2
"crushing",2
"cry",2
"crying",2
"cybold",2
"dailyshow",2
"david",2
"dcexaminer",2
"dealing",2
"deciding",2
"deepakmohoni",2
"defends",2
"dem",2
"demanding",2
"democrat",2
"denounce",2
"denouncing",2
"deport",2
"deserves",2
"dignity",2
"dispair",2
"doctorow",2
"doeâ€",2
"domestic",2
"drop",2
"dseaman",2
"eaglestarnet",2
"editor",2
"effect",2
"effort",2
"electionlawctr",2
"entire",2
"envoy",2
"episode",2
"esmolar",2
"espowill",2
"even",2
"example",2
"exec",2
"explain",2
"extremists",2
"facts",2
"failed",2
"fake",2
"fascism",2
"federal",2
"feel",2
"find",2
"finds",2
"float",2
"folks",2
"follow",2
"following",2
"forget",2
"former",2
"forwardâ€™",2
"gays",2
"genflynn",2
"german",2
"getting",2
"gillibrand",2
"giuliani",2
"glad",2
"glcarlstrom",2
"goingâ€",2
"grip",2
"guitarcenter",2
"guitars",2
"haaretzcom",2
"hamas",2
"happy",2
"hard",2
"hated",2
"hateful",2
"hear",2
"hell",2
"hero",2
"hispanics",2
"history",2
"hold",2
"homophobic",2
"honestly",2
"hope",2
"housena",2
"housenhttpstâ€",2
"howardkurtz",2
"httpstcoabnuxjbo",2
"httpstcoauwodpxez",2
"httpstcoaxcyrbot",2
"httpstcobbjijfxfph",2
"httpstcobucqyabsw",2
"httpstcocâ€",2
"httpstcodhortvja",2
"httpstcodsxvmtnlry",2
"httpstcofwlaavitr",2
"httpstcofwnelggbg",2
"httpstcofwuhnmxc",2
"httpstcohpwwovso",2
"httpstcojcyzszibq",2
"httpstcojvwcfzozyc",2
"httpstcolvfdbeoi",2
"httpstcomhzdmyzrpu",2
"httpstcomjreylpe",2
"httpstcomoshnnhqg",2
"httpstconvpqlfjfq",2
"httpstcoofuâ€",2
"httpstcopqlirputo",2
"httpstcoprnvbauqs",2
"httpstcopusggeffc",2
"httpstcoqxfukdssv",2
"httpstcoqyylgsef",2
"httpstcorslxurtq",2
"httpstcosqlczdwaâ€",2
"httpstcotâ€",2
"httpstcoudiveunse",2
"httpstcovhvkuei",2
"httpstcovkxbâ€",2
"httpstcovpxaujtz",2
"httpstcovsfccawx",2
"httpstcowasgetdy",2
"httpstcowwuqapn",2
"httpstcoxoraxogph",2
"httpstcoyavveis",2
"httpstcoymtldrbâ€",2
"httpstcozrwjpthufu",2
"human",2
"hundreds",2
"hve",2
"iamsophianelson",2
"idiots",2
"immigrant",2
"inaccurate",2
"incoming",2
"inside",2
"investigating",2
"islamic",2
"islamophobe",2
"islamophobic",2
"israels",2
"ivanka",2
"jawja",2
"jeffreyguterman",2
"jewishâ€",2
"jlfeder",2
"joint",2
"jonathannichol",2
"joshruben",2
"journalist",2
"judeochristian",2
"julieroginsky",2
"justify",2
"jvplive",2
"jwpetersnyt",2
"keitholbermann",2
"kellyannepolls",2
"kellyjeanjames",2
"kfile",2
"klux",2
"known",2
"kobach",2
"kristol",2
"larryt",2
"laughable",2
"lauravanvleet",2
"leader",2
"leadership",2
"learned",2
"less",2
"libel",2
"libeling",2
"link",2
"lol",2
"longwall",2
"looking",2
"looks",2
"looming",2
"lordwhatamess",2
"losers",2
"loses",2
"lost",2
"lovestephanysco",2
"male",2
"manufactured",2
"mark",2
"marr",2
"mattdpearce",2
"matter",2
"melanielatest",2
"mercers",2
"mic",2
"minorities",2
"moreâ€",2
"morton",2
"mounts",2
"named",2
"naphi",2
"nation",2
"national",2
"needed",2
"newly",2
"newman",2
"newsweek",2
"newsweekeurope",2
"nickanderson",2
"nigel",2
"nightmare",2
"nnhttpstcoufhqzfz",2
"nnrise",2
"nohateinwhitehouse",2
"nominating",2
"non",2
"nonormalization",2
"normal",2
"nsa",2
"nyers",2
