"�..word","freq"
"htgawm",766
"wes",195
"just",82
"ajanaomiking",81
"restingplatypus",78
"know",74
"howtogetawayabc",69
"get",66
"sheet",58
"eduaubdedubufeduaubcedubfubc",56
"love",53
"now",50
"like",47
"nhtgawm",44
"away",41
"episode",41
"please",41
"shonda",41
"lizaweil",38
"think",36
"back",35
"murder",35
"need",35
"killed",34
"shondarhimes",34
"god",33
"kill",33
"will",33
"got",32
"much",32
"underthesheet",32
"already",31
"didnt",31
"everyone",31
"thanks",31
"cant",30
"nate",30
"year",29
"petenowalk",28
"dont",27
"still",27
"worst",27
"damn",26
"died",26
"watching",26
"belief",25
"existence",25
"furthered",25
"gabbydavidson",25
"spain",25
"alfred",24
"enoch",24
"gibbons",24
"helpnhtgawm",24
"httpstcoivjudznvqh",24
"show",24
"hurts",23
"life",23
"sorrynhtgawm",23
"tonight",23
"uufefnhtgawm",23
"bonnie",22
"call",22
"laurelsgibbin",22
"time",22
"bcz",21
"devastated",21
"fuck",21
"going",21
"nit",21
"parents",21
"shook",21
"want",21
"heart",20
"right",20
"deserved",19
"gibbins",19
"main",19
"omg",19
"spoilers",19
"trying",19
"whos",19
"can",18
"dead",18
"death",18
"even",18
"fam",18
"havent",18
"never",18
"tuning",18
"violadavis",18
"better",17
"finale",17
"httpstcoelczonu",17
"ntgit",17
"okay",17
"peter",17
"returns",17
"worse",17
"believe",16
"brother",16
"characnshonda",16
"cristallizing",16
"ever",16
"find",16
"good",16
"himnhtgawm",16
"httpstcoavkhbfqjj",16
"see",16
"watch",16
"annalise",15
"high",15
"htgawmwinterfinale",15
"nuffsaidny",15
"seeing",15
"tomorrow",15
"yes",15
"amp",14
"annalises",14
"die",14
"eduaubdedubuaeduaubdedubuad",14
"giagia",14
"httpstcohcbnybmdo",14
"mattmcgorry",14
"nnhtgawm",14
"take",14
"twin",14
"crying",13
"east",13
"emotional",13
"fucking",13
"happened",13
"htgawmâ€",13
"ive",13
"january",13
"lady",13
"let",13
"live",13
"made",13
"rhimes",13
"also",12
"eduaubdedubuaeduaubdedubua",12
"evil",12
"george",12
"mcdreamy",12
"process",12
"rebecca",12
"say",12
"season",12
"thinking",12
"week",12
"wow",12
"calling",11
"callmestarlord",11
"cancelled",11
"classes",11
"coming",11
"connor",11
"denny",11
"due",11
"eduaubdedubuadeduaubdedubuadeduaubdedubuaa",11
"enough",11
"family",11
"greysanatomy",11
"honor",11
"httpstcoaejlqyaoq",11
"httpstcoassmgqxq",11
"httpstcotgyecz",11
"httpstcowfatâ€",11
"httpstcoyoqonjlw",11
"laurel",11
"laurenadinab",11
"lexie",11
"lifted",11
"mark",11
"mourn",11
"msoriginality",11
"munaism",11
"naaame",11
"nationwide",11
"nni",11
"play",11
