"x"
"RT @jimwaterson: Milo on C4 says he's Jewish and Bannon hired him, so can't be anti-Semitic. Reminds me of Milo on C4 attacking gay church…"
"RT @GuidoFawkes: WATCH: Milo v @cathynewman on the alt-right, feminism, Steve Bannon and those satirical headlines [VIDEO] https://t.co/p9O…"
"RT @iainmartin1: Oh the irony. Steve Bannon - boss of Breitbart, yes Breitbart - say he's misquoted victim of poor reporting. You couldn't…"
"RT @pattonoswalt: Congrats on Steve Bannon for finally breaking the glass storefront window for white nationalists everywhere!"
"RT @voxday: Milo on White House Chief Strategist Steve Bannon.
https://t.co/hKOHTPVpmE"
"RT @CallOut4: Stephen Bannon Hit With Serious FBI Federal Election Law Complaint By Democratic Coalition https://t.co/3jdQZxJRMF"
"@SenSanders Bannon is a excellent guy, GET YOUR FACTS straight! I listened to him for years on the radio."
"RT @halsteadg048: Five Things to Know About the Steve Bannon Smear
#SupportBannon #MAGA #RuleofLaw #PresidentTrump
https://t.co/Tlb7ZX96q5…"
"Protesters Sound Off Against Bannon Appointment In D.C: https://t.co/uo4HL5Z45Y via @YouTube"
"RT @BernieSanders: Donald Trump's appointment of a racist individual like Steve Bannon is totally unacceptable. It must be rescinded."
"RT @stranahan: Why the Big Lie About Steve Bannon? | PJ Media https://t.co/uFKe0tswtQ"
"RT @AdmiralAkbrown: Hey media, stop putting ""racist"" in quotes. You just mean Racist Steve Bannon."
"RT @jonfavs: This does not inspire confidence  https://t.co/zBbAd5f9Bv"
"RT @longwall26: Bannon: I'm a racist
Bannon's supporters: He's a racist
Bannon's opponents: He's a racist
Media: Is Steve Bannon a Racist?…"
"@Dorianlynskey That interview was all about ""look! we've got Milo!"", not ""let's really try and understand what Bannon's appointment means."""
"RT @ezlusztig: Bannon would do himself a big favor if he got a decent haircut, had a shave, and laid off the booze to take the Rudolph shin…"
"RT @TomthunkitsMind: Meet Trump's Brain Steve Bannon: 8 Things to Know About Trump's Chief Strategist. https://t.co/DpjRM5Ps7E https://t.co…"
"#Reid Lied About Romney's Taxes https://t.co/CKjRdP0GmP"
"RT @TheOnion: 5 Things To Know About Steve Bannon https://t.co/lMTUS6aEFx"
